# Evaluating Accuracy 
Root Mean Squared Error (RMSE) on testSevere data = 5.92071
Root Mean Squared Error (RMSE) on testMinor data = 5.99539

# Prediction of the next week for Sever Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
| 623|[1.0,1.0,2.0,1.0,...|    1|  4.92823071495289|
| 413|[1.0,1.0,1.0,2.0,...|    1|  4.92823071495289|
|1831|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1032|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|2221|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1612|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 633|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 132|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
| 211|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
|1732|[1.0,1.0,1.0,1.0,...|    1|  4.92823071495289|
+----+--------------------+-----+------------------+

# Prediction of the next week for Minor Crime 
+----+--------------------+-----+------------------+
|Beat|            features|label|        prediction|
+----+--------------------+-----+------------------+
|2432|[2.0,3.0,3.0,1.0,...|    3| 4.920460485414064|
| 935|[3.0,2.0,3.0,3.0,...|    1| 4.956993824810136|
|1434|[1.0,3.0,2.0,3.0,...|    2| 4.926341386573369|
|1113|[2.0,1.0,3.0,2.0,...|    7| 4.903941977218399|
|1513|[7.0,2.0,1.0,3.0,...|    1| 6.268827522519265|
|1533|[1.0,7.0,2.0,1.0,...|    6| 5.843745099207605|
|2233|[6.0,1.0,7.0,2.0,...|    2| 6.330720884805572|
| 835|[2.0,6.0,1.0,7.0,...|    4| 5.929757662730709|
|1911|[4.0,2.0,6.0,1.0,...|    1| 5.806107781284417|
| 726|[1.0,4.0,2.0,6.0,...|    3|5.2951542580962006|
| 825|[3.0,1.0,4.0,2.0,...|    4| 5.057999353123129|
| 725|[4.0,3.0,1.0,4.0,...|    4|5.5387877628384645|
| 234|[4.0,4.0,3.0,1.0,...|    3| 5.592170980096426|
|2523|[3.0,4.0,4.0,3.0,...|    2|5.2174955655427935|
|1133|[2.0,3.0,4.0,4.0,...|    5| 5.119303814389782|
| 524|[5.0,2.0,3.0,4.0,...|    1| 5.629504661281133|
|1135|[1.0,5.0,2.0,3.0,...|    4|5.2930328592443985|
|1123|[4.0,1.0,5.0,2.0,...|    4| 5.661089529326778|
|2423|[4.0,4.0,1.0,5.0,...|    2| 5.722212980726898|
|1423|[2.0,4.0,4.0,1.0,...|    5| 5.172811412930282|
| 224|[5.0,2.0,4.0,4.0,...|    3| 5.701986857696584|
|2532|[3.0,5.0,2.0,4.0,...|    3| 5.380752929442678|
| 923|[3.0,3.0,5.0,2.0,...|    1|5.2020201364455225|
| 332|[1.0,3.0,3.0,5.0,...|    3| 5.079537414405014|
|1624|[3.0,1.0,3.0,3.0,...|    2| 4.956993824810136|
| 423|[2.0,3.0,1.0,3.0,...|    2| 4.926341386573369|
|1722|[2.0,2.0,3.0,1.0,...|    1| 4.903941977218399|
|1224|[1.0,2.0,2.0,3.0,...|    2| 4.909822878377705|
|1013|[2.0,1.0,2.0,2.0,...|    7| 4.885303062695135|
|1131|[7.0,2.0,1.0,2.0,...|    4| 6.256884712974515|
| 114|[4.0,7.0,2.0,1.0,...|    3| 6.207216481791883|
|1924|[3.0,4.0,7.0,2.0,...|    1|  5.76383516800651|
| 735|[1.0,3.0,4.0,7.0,...|    5| 5.594925931713691|
|2232|[5.0,1.0,3.0,4.0,...|    3| 5.629504661281133|
|2521|[3.0,5.0,1.0,3.0,...|    4| 5.333054413841833|
| 832|[4.0,3.0,5.0,1.0,...|    4| 5.694348709716164|
|1522|[4.0,4.0,3.0,5.0,...|    7| 5.740851895250163|
| 915|[7.0,4.0,4.0,3.0,...|    4|  6.44716620314223|
| 733|[4.0,7.0,4.0,4.0,...|    3| 6.359103090256516|
| 215|[3.0,4.0,7.0,4.0,...|    4|  5.87872976707748|
|1532|[4.0,3.0,4.0,7.0,...|    3| 6.075884547839851|
|1223|[3.0,4.0,3.0,4.0,...|    2| 5.151087404764565|
|1523|[2.0,3.0,4.0,3.0,...|    5| 5.070505645092195|
| 212|[5.0,2.0,3.0,4.0,...|    2| 5.629504661281133|
|1633|[2.0,5.0,2.0,3.0,...|    5|5.2930328592443985|
| 613|[5.0,2.0,5.0,2.0,...|    1| 5.778561357707847|
|2223|[1.0,5.0,2.0,5.0,...|    6| 5.437810079264997|
| 634|[6.0,1.0,5.0,2.0,...|    2| 5.977808388666682|
| 123|[2.0,6.0,1.0,5.0,...|    3| 5.541886081562867|
| 312|[3.0,2.0,6.0,1.0,...|    4| 5.353201497774703|
|2535|[4.0,3.0,2.0,6.0,...|    3| 5.612259408293345|
|1821|[3.0,4.0,3.0,2.0,...|    2| 5.075818100843887|
|2511|[2.0,3.0,4.0,3.0,...|    2| 5.070505645092195|
| 815|[2.0,2.0,3.0,4.0,...|    2|4.9772599621985565|
|1033|[2.0,2.0,2.0,3.0,...|    2| 4.909822878377705|
| 934|[2.0,2.0,2.0,2.0,...|    2| 4.885303062695135|
|1923|[2.0,2.0,2.0,2.0,...|    1| 4.885303062695135|
| 322|[1.0,2.0,2.0,2.0,...|    2| 4.885303062695135|
|1832|[2.0,1.0,2.0,2.0,...|    1| 4.885303062695135|
| 324|[1.0,2.0,1.0,2.0,...|    4| 4.885303062695135|
|2411|[4.0,1.0,2.0,1.0,...|    1| 5.404389298111973|
| 614|[1.0,4.0,1.0,2.0,...|    2|5.0286471544114555|
|1925|[2.0,1.0,4.0,1.0,...|    3| 5.029467321213962|
| 313|[3.0,2.0,1.0,4.0,...|    4| 4.987153079584457|
| 213|[4.0,3.0,2.0,1.0,...|    9|  5.43764847850136|
|1713|[9.0,4.0,3.0,2.0,...|    2| 7.980567938664197|
|1432|[2.0,9.0,4.0,3.0,...|    2| 7.354523697678551|
| 112|[2.0,2.0,9.0,4.0,...|    2| 6.844418958000699|
|2433|[2.0,2.0,2.0,9.0,...|    2| 6.644669528986285|
|1235|[2.0,2.0,2.0,2.0,...|    2| 4.885303062695135|
|1822|[2.0,2.0,2.0,2.0,...|    1| 4.885303062695135|
| 814|[1.0,2.0,2.0,2.0,...|    1| 4.885303062695135|
| 823|[1.0,1.0,2.0,2.0,...|    4| 4.885303062695135|
|1021|[4.0,1.0,1.0,2.0,...|    3| 5.404389298111973|
|2533|[3.0,4.0,1.0,1.0,...|    4| 5.057179186320622|
| 712|[4.0,3.0,4.0,1.0,...|    4| 5.528769589440076|
|1132|[4.0,4.0,3.0,4.0,...|    2| 5.695261583374052|
|1833|[2.0,4.0,4.0,3.0,...|    2| 5.188963533633626|
| 713|[2.0,2.0,4.0,4.0,...|    5| 5.102785306194119|
|2524|[5.0,2.0,2.0,4.0,...|    5| 5.610865746757867|
|1011|[5.0,5.0,2.0,2.0,...|    4| 5.895325293289699|
|1024|[4.0,5.0,5.0,2.0,...|    2| 5.998929998708726|
|1711|[2.0,4.0,5.0,5.0,...|    1| 5.472418590700991|
|1634|[1.0,2.0,4.0,5.0,...|    2| 5.188544250204911|
|2413|[2.0,1.0,2.0,4.0,...|    2| 4.958621047675291|
| 424|[2.0,2.0,1.0,2.0,...|    1| 4.885303062695135|
|1824|[1.0,2.0,2.0,1.0,...|    2| 4.885303062695135|
|2522|[2.0,1.0,2.0,2.0,...|    3| 4.885303062695135|
| 222|[3.0,2.0,1.0,2.0,...|    3| 4.913835094604302|
|1613|[3.0,3.0,2.0,1.0,...|    1| 4.930353602799965|
|1422|[1.0,3.0,3.0,2.0,...|    4| 4.920460485414064|
| 722|[4.0,1.0,3.0,3.0,...|    2|  5.44003354762576|
| 314|[2.0,4.0,1.0,3.0,...|    1|5.0447992751148005|
| 624|[1.0,2.0,4.0,1.0,...|    3| 5.029467321213962|
| 433|[3.0,1.0,2.0,4.0,...|    4| 4.987153079584457|
|1913|[4.0,3.0,1.0,2.0,...|    3|  5.43764847850136|
|1222|[3.0,4.0,3.0,1.0,...|    3| 5.075818100843887|
|1034|[3.0,3.0,4.0,3.0,...|    2| 5.099037677001362|
| 235|[2.0,3.0,3.0,4.0,...|    1| 4.993778470394219|
|2534|[1.0,2.0,3.0,3.0,...|    4| 4.928461792900969|
| 723|[4.0,1.0,2.0,3.0,...|    7| 5.421394633102495|
|2513|[7.0,4.0,1.0,2.0,...|    1|   6.3876136219641|
| 533|[1.0,7.0,4.0,1.0,...|    1|   5.9995974258193|
| 714|[1.0,1.0,7.0,4.0,...|    1| 5.775797982178194|
|2234|[1.0,1.0,1.0,7.0,...|    3|5.4541952972904815|
|1914|[3.0,1.0,1.0,1.0,...|    2| 4.913835094604302|
| 414|[2.0,3.0,1.0,1.0,...|    2|4.9018215708907995|
|2011|[2.0,2.0,3.0,1.0,...|    1| 4.903941977218399|
|1413|[1.0,2.0,2.0,3.0,...|    1| 4.909822878377705|
|1212|[1.0,1.0,2.0,2.0,...|    1| 4.885303062695135|
|2032|[1.0,1.0,1.0,2.0,...|    1| 4.885303062695135|
|2515|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1134|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|2213|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 913|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 333|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1834|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 133|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1115|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 225|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|2022|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 834|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
| 434|[1.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|2525|[1.0,1.0,1.0,1.0,...|    2| 4.885303062695135|
|1723|[2.0,1.0,1.0,1.0,...|    1| 4.885303062695135|
|1023|[1.0,2.0,1.0,1.0,...|    1| 4.885303062695135|
|1813|[1.0,1.0,2.0,1.0,...|    1| 4.885303062695135|
|1114|[1.0,1.0,1.0,2.0,...|    1| 4.885303062695135|
| 421|[1.0,1.0,1.0,1.0,...|    9| 4.885303062695135|
|1512|[9.0,1.0,1.0,1.0,...|    4| 8.107293930412368|
| 522|[4.0,9.0,1.0,1.0,...|    1| 7.579019778791348|
| 822|[1.0,4.0,9.0,1.0,...|    6| 6.818928464199482|
| 411|[6.0,1.0,4.0,9.0,...|    2| 7.155645541841026|
| 511|[2.0,6.0,1.0,4.0,...|    5| 5.456807764539807|
| 612|[5.0,2.0,6.0,1.0,...|    3| 5.909702030758604|
|1122|[3.0,5.0,2.0,6.0,...|    8| 5.560684606313502|
| 422|[8.0,3.0,5.0,2.0,...|    3| 7.974657490226659|
|1121|[3.0,8.0,3.0,5.0,...|    5| 7.067952815829865|
| 611|[5.0,3.0,8.0,3.0,...|    4| 6.698093873794468|
|2211|[4.0,5.0,3.0,8.0,...|    1|  7.20944014330701|
| 731|[1.0,4.0,5.0,3.0,...|    2| 5.316465808760357|
| 632|[2.0,1.0,4.0,5.0,...|    3| 5.188544250204911|
| 711|[3.0,2.0,1.0,4.0,...|    3| 4.987153079584457|
| 621|[3.0,3.0,2.0,1.0,...|    5| 4.930353602799965|
| 932|[5.0,3.0,3.0,2.0,...|    4|5.5566934543645425|
|1112|[4.0,5.0,3.0,3.0,...|    2| 5.793113962075946|
|1623|[2.0,4.0,5.0,3.0,...|    1| 5.316465808760357|
| 431|[1.0,2.0,4.0,5.0,...|    2| 5.188544250204911|
|1211|[2.0,1.0,2.0,4.0,...|    3| 4.958621047675291|
| 122|[3.0,2.0,1.0,2.0,...|    4| 4.913835094604302|
| 321|[4.0,3.0,2.0,1.0,...|    2|  5.43764847850136|
|1411|[2.0,4.0,3.0,2.0,...|    2|  5.04728606893472|
|1531|[2.0,2.0,4.0,3.0,...|    9| 5.053987136896532|
| 931|[9.0,2.0,2.0,4.0,...|    2| 7.953134378459933|
| 111|[2.0,9.0,2.0,2.0,...|    2| 7.260600859542642|
|1524|[2.0,2.0,9.0,2.0,...|    2| 6.758216999620345|
| 412|[2.0,2.0,2.0,9.0,...|    2| 6.644669528986285|
|1031|[2.0,2.0,2.0,2.0,...|    4| 4.885303062695135|
| 311|[4.0,2.0,2.0,2.0,...|    2| 5.404389298111973|
|2222|[2.0,4.0,2.0,2.0,...|    4|5.0286471544114555|
| 631|[4.0,2.0,4.0,2.0,...|    2|  5.49551040905069|
|1111|[2.0,4.0,2.0,4.0,...|    2| 5.103916458332134|
| 532|[2.0,2.0,4.0,2.0,...|    3| 5.029467321213962|
|1622|[3.0,2.0,2.0,4.0,...|    3| 4.987153079584457|
|1712|[3.0,3.0,2.0,2.0,...|    2| 4.930353602799965|
| 523|[2.0,3.0,3.0,2.0,...|    4| 4.920460485414064|
| 231|[4.0,2.0,3.0,3.0,...|    2|  5.44003354762576|
| 734|[2.0,4.0,2.0,3.0,...|    4|5.0447992751148005|
| 113|[4.0,2.0,4.0,2.0,...|    1|  5.49551040905069|
